id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
2442,20000 - 35000,nieve,ciudad,Tecnología,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2443,20000 - 35000,buen clima,ciudad,Servicios Financieros,Aragón,"Si, grande",diesel,uso particular habitual,Automatico,Si
2444,20000 - 35000,buen clima,playa,Salud,Andalucía,"Si, pequeña",electrico,uso particular habitual,Manual,No
2445,20000 - 35000,buen clima,ciudad,Servicios Financieros,Castilla y León,"Si, pequeña",electrico,viajes largos,Manual,No
2446,35000-60000,nieve,montaña,Transporte y Logística,Andalucía,"Si, pequeña",gasolina,viajes largos,Manual,No
2447,35000-60000,buen clima,montaña,Educación,Asturias,No,gasolina,uso particular habitual,Manual,No
2448,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Andalucía,"Si, grande",diesel,uso particular ocasional,Manual,Si
2449,35000-60000,buen clima,montaña,Tecnología,Cantabria,"Si, grande",diesel,uso particular habitual,Automatico,Si
2450,60000 - 100000,buen clima,playa,Tecnología,Andalucía,"Si, grande",gasolina,uso particular habitual,Automatico,Si
2451,20000 - 35000,buen clima,montaña,Otros,Asturias,"Si, grande",gasolina,uso particular ocasional,Manual,No
2452,12000 - 20000,buen clima,ciudad,Transporte y Logística,Galicia,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2453,60000 - 100000,buen clima,playa,Salud,Cataluña,"Si, pequeña",gasolina,viajes largos,Automatico,Si
2454,60000 - 100000,buen clima,playa,Comercio,Baleares,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2455,20000 - 35000,nieve,ciudad,Energía,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
2456,20000 - 35000,buen clima,playa,Educación,Asturias,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2457,35000-60000,off-road,ciudad,Servicios Financieros,Andalucía,No,electrico,uso particular ocasional,Automatico,No
2458,20000 - 35000,buen clima,montaña,Otros,Galicia,"Si, grande",electrico,uso particular habitual,Manual,Si
2459,- 12000,buen clima,montaña,Servicios Financieros,Baleares,"Si, pequeña",gasolina,viajes largos,Manual,No
2460,35000-60000,nieve,playa,Comercio,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2461,20000 - 35000,nieve,montaña,Transporte y Logística,Extremadura,"Si, pequeña",electrico,uso particular habitual,Manual,No
2462,12000 - 20000,buen clima,playa,Tecnología,Andalucía,"Si, pequeña",diesel,viajes largos,Manual,Si
2463,12000 - 20000,buen clima,montaña,Otros,Galicia,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2464,12000 - 20000,buen clima,ciudad,Servicios Financieros,Cantabria,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2465,60000 - 100000,buen clima,montaña,Salud,Castilla y León,"Si, grande",diesel,uso particular habitual,Manual,Si
2466,35000-60000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,"Si, pequeña",electrico,uso particular ocasional,Manual,No
2467,20000 - 35000,buen clima,montaña,Salud,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
2468,20000 - 35000,nieve,montaña,Servicios Financieros,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,Si
2469,20000 - 35000,buen clima,ciudad,Salud,Asturias,No,diesel,uso particular ocasional,Manual,Si
2470,35000-60000,buen clima,montaña,Tecnología,Aragón,"Si, grande",diesel,viajes largos,Manual,No
2471,12000 - 20000,buen clima,montaña,Industria Construccion y Manufactura,Baleares,"Si, grande",gasolina,uso particular ocasional,Manual,No
2472,20000 - 35000,buen clima,playa,Entretenimiento y Medios,Aragón,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
2473,20000 - 35000,buen clima,montaña,Otros,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Automatico,No
2474,60000 - 100000,buen clima,ciudad,Salud,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,No
2475,35000-60000,nieve,montaña,Tecnología,Aragón,"Si, pequeña",hibrido,uso particular habitual,Manual,No
2476,35000-60000,buen clima,montaña,Salud,Asturias,No,diesel,uso particular habitual,Manual,No
2477,12000 - 20000,buen clima,playa,Otros,Baleares,"Si, grande",gasolina,viajes largos,Manual,Si
2478,12000 - 20000,buen clima,playa,Salud,Navarra,"Si, grande",diesel,uso particular habitual,Automatico,Si
2479,- 12000,off-road,playa,Tecnología,Extremadura,No,electrico,uso particular ocasional,Automatico,No
2480,12000 - 20000,buen clima,ciudad,Turismo y Ocio,Cantabria,"Si, grande",electrico,uso particular ocasional,Manual,Si
2481,60000 - 100000,nieve,ciudad,Industria Construccion y Manufactura,Madrid,No,gasolina,uso particular ocasional,Manual,Si
2482,+ 100000,nieve,ciudad,Industria Construccion y Manufactura,Cantabria,"Si, grande",diesel,uso particular ocasional,Manual,Si
2483,20000 - 35000,buen clima,ciudad,Tecnología,Castilla-La Mancha,"Si, grande",diesel,uso particular ocasional,Manual,Si
2484,60000 - 100000,buen clima,playa,Entretenimiento y Medios,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2485,- 12000,buen clima,montaña,Educación,Asturias,No,diesel,uso particular habitual,Manual,No
2486,12000 - 20000,buen clima,playa,Industria Construccion y Manufactura,Andalucía,No,electrico,uso particular ocasional,Manual,Si
2487,60000 - 100000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,No
2488,60000 - 100000,buen clima,montaña,Salud,Andalucía,"Si, pequeña",hibrido,uso particular ocasional,Automatico,Si
2489,35000-60000,nieve,ciudad,Energía,Baleares,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
2490,12000 - 20000,buen clima,ciudad,Tecnología,Murcia,"Si, pequeña",gasolina,uso particular habitual,Automatico,No
2491,60000 - 100000,buen clima,ciudad,Salud,Baleares,"Si, grande",electrico,uso particular ocasional,Automatico,Si
2492,35000-60000,buen clima,montaña,Tecnología,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,Si
2493,- 12000,buen clima,montaña,Energía,Extremadura,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2494,12000 - 20000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2495,20000 - 35000,nieve,montaña,Tecnología,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2496,20000 - 35000,buen clima,montaña,Comercio,Valencia,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
2497,35000-60000,buen clima,playa,Educación,Asturias,"Si, grande",diesel,uso particular ocasional,Automatico,Si
2498,20000 - 35000,nieve,playa,Industria Construccion y Manufactura,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
2499,20000 - 35000,buen clima,ciudad,Transporte y Logística,Aragón,"Si, grande",gasolina,uso particular habitual,Automatico,Si
2500,35000-60000,buen clima,montaña,Tecnología,Baleares,"Si, grande",gasolina,uso particular habitual,Manual,Si
2501,20000 - 35000,off-road,montaña,Educación,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2502,12000 - 20000,buen clima,montaña,Comercio,Castilla y León,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
2503,35000-60000,buen clima,montaña,Energía,Andalucía,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2504,60000 - 100000,nieve,ciudad,Salud,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,No
2505,20000 - 35000,nieve,playa,Tecnología,Castilla y León,"Si, grande",diesel,uso particular habitual,Automatico,Si
2506,12000 - 20000,buen clima,montaña,Entretenimiento y Medios,Andalucía,"Si, pequeña",electrico,viajes largos,Automatico,Si
2507,20000 - 35000,buen clima,ciudad,Salud,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2508,35000-60000,buen clima,ciudad,Transporte y Logística,Asturias,"Si, grande",gasolina,uso particular ocasional,Automatico,No
2509,12000 - 20000,buen clima,montaña,Comercio,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,No
2510,12000 - 20000,buen clima,montaña,Transporte y Logística,Extremadura,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2511,- 12000,buen clima,montaña,Industria Construccion y Manufactura,La Rioja,"Si, pequeña",diesel,viajes largos,Automatico,Si
2512,35000-60000,buen clima,ciudad,Turismo y Ocio,Andalucía,"Si, pequeña",electrico,uso particular habitual,Manual,Si
2513,- 12000,nieve,montaña,Turismo y Ocio,Madrid,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2514,35000-60000,buen clima,ciudad,Tecnología,Andalucía,"Si, pequeña",electrico,viajes largos,Manual,Si
2515,- 12000,off-road,playa,Industria Construccion y Manufactura,Canarias,"Si, grande",diesel,uso particular ocasional,Manual,No
2516,12000 - 20000,buen clima,montaña,Salud,Extremadura,"Si, pequeña",diesel,uso particular habitual,Automatico,No
2517,12000 - 20000,buen clima,montaña,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2518,20000 - 35000,nieve,montaña,Comercio,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Manual,Si
2519,- 12000,buen clima,ciudad,Entretenimiento y Medios,Asturias,"Si, grande",diesel,uso particular ocasional,Manual,Si
2520,60000 - 100000,buen clima,montaña,Otros,Asturias,No,diesel,uso particular habitual,Manual,No
2521,35000-60000,buen clima,montaña,Salud,Galicia,"Si, grande",diesel,uso particular ocasional,Manual,Si
2522,35000-60000,buen clima,montaña,Servicios Financieros,Aragón,"Si, grande",diesel,uso particular habitual,Manual,No
2523,20000 - 35000,buen clima,montaña,Tecnología,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2524,20000 - 35000,buen clima,playa,Servicios Financieros,Canarias,No,diesel,uso particular habitual,Automatico,Si
2525,20000 - 35000,nieve,montaña,Transporte y Logística,Asturias,"Si, grande",diesel,uso particular habitual,Manual,Si
2526,20000 - 35000,buen clima,playa,Transporte y Logística,Cantabria,"Si, grande",diesel,uso particular habitual,Manual,Si
2527,- 12000,buen clima,ciudad,Comercio,Aragón,No,diesel,viajes largos,Automatico,No
2528,35000-60000,buen clima,montaña,Servicios Financieros,Aragón,No,gasolina,uso particular habitual,Manual,Si
2529,12000 - 20000,buen clima,playa,Salud,Extremadura,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2530,60000 - 100000,buen clima,montaña,Salud,Baleares,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2531,20000 - 35000,buen clima,ciudad,Tecnología,Cantabria,No,diesel,uso particular habitual,Manual,No
2532,60000 - 100000,nieve,ciudad,Energía,Baleares,"Si, grande",hibrido,uso particular habitual,Manual,No
2533,- 12000,buen clima,ciudad,Turismo y Ocio,Asturias,No,diesel,uso particular ocasional,Manual,No
2534,35000-60000,buen clima,montaña,Entretenimiento y Medios,Extremadura,No,diesel,uso particular habitual,Manual,Si
2535,60000 - 100000,buen clima,ciudad,Servicios Financieros,Extremadura,No,diesel,uso particular ocasional,Manual,No
2536,12000 - 20000,buen clima,ciudad,Tecnología,Aragón,"Si, pequeña",hibrido,uso particular habitual,Manual,No
2537,20000 - 35000,buen clima,montaña,Tecnología,Baleares,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
2538,12000 - 20000,buen clima,ciudad,Transporte y Logística,Navarra,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2539,12000 - 20000,buen clima,montaña,Servicios Financieros,Asturias,No,diesel,uso particular ocasional,Manual,Si
2540,- 12000,buen clima,playa,Industria Construccion y Manufactura,Murcia,"Si, pequeña",electrico,viajes largos,Manual,No
2541,12000 - 20000,buen clima,montaña,Comercio,Andalucía,"Si, grande",diesel,uso particular ocasional,Automatico,No
2542,35000-60000,buen clima,montaña,Turismo y Ocio,Extremadura,"Si, pequeña",diesel,uso particular habitual,Manual,No
2543,20000 - 35000,buen clima,montaña,Tecnología,Castilla y León,No,gasolina,uso particular habitual,Manual,No
2544,20000 - 35000,buen clima,playa,Tecnología,Andalucía,No,diesel,uso particular habitual,Manual,No
2545,35000-60000,nieve,playa,Energía,Canarias,"Si, grande",diesel,viajes largos,Manual,No
2546,60000 - 100000,buen clima,montaña,Servicios Financieros,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,No
2547,35000-60000,off-road,ciudad,Energía,Castilla-La Mancha,"Si, grande",diesel,uso particular habitual,Automatico,Si
2548,35000-60000,buen clima,ciudad,Energía,Extremadura,No,gasolina,viajes largos,Manual,Si
2549,20000 - 35000,buen clima,ciudad,Comercio,Castilla-La Mancha,No,gasolina,uso particular ocasional,Manual,Si
2550,+ 100000,nieve,montaña,Tecnología,Galicia,"Si, pequeña",electrico,uso particular habitual,Manual,No
2551,35000-60000,buen clima,montaña,Servicios Financieros,Castilla-La Mancha,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2552,60000 - 100000,nieve,ciudad,Servicios Financieros,Aragón,"Si, pequeña",diesel,uso particular habitual,Automatico,Si
2553,20000 - 35000,off-road,montaña,Salud,Baleares,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2554,- 12000,buen clima,playa,Turismo y Ocio,Asturias,"Si, grande",gasolina,uso particular ocasional,Manual,No
2555,35000-60000,buen clima,montaña,Salud,Aragón,No,gasolina,uso particular habitual,Manual,Si
2556,- 12000,nieve,montaña,Tecnología,Aragón,No,diesel,uso particular ocasional,Manual,No
2557,12000 - 20000,buen clima,montaña,Salud,Asturias,"Si, grande",diesel,uso particular habitual,Automatico,Si
2558,- 12000,buen clima,montaña,Tecnología,Castilla-La Mancha,"Si, grande",diesel,viajes largos,Manual,No
2559,35000-60000,off-road,ciudad,Transporte y Logística,Andalucía,"Si, pequeña",diesel,uso particular habitual,Manual,Si
2560,20000 - 35000,buen clima,playa,Energía,Canarias,"Si, pequeña",gasolina,uso particular ocasional,Automatico,Si
2561,20000 - 35000,buen clima,ciudad,Energía,Baleares,"Si, pequeña",hibrido,viajes largos,Manual,No
2562,- 12000,buen clima,ciudad,Entretenimiento y Medios,Aragón,"Si, pequeña",diesel,uso particular ocasional,Manual,Si
2563,35000-60000,buen clima,ciudad,Comercio,Baleares,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
2564,12000 - 20000,buen clima,montaña,Otros,Cantabria,"Si, grande",diesel,uso particular habitual,Manual,No
2565,35000-60000,nieve,montaña,Industria Construccion y Manufactura,Andalucía,"Si, grande",diesel,uso particular habitual,Manual,Si
2566,35000-60000,buen clima,montaña,Energía,Cataluña,"Si, grande",gasolina,uso particular ocasional,Manual,No
2567,12000 - 20000,nieve,ciudad,Industria Construccion y Manufactura,Aragón,"Si, grande",gasolina,uso particular ocasional,Automatico,Si
2568,35000-60000,off-road,playa,Servicios Financieros,Madrid,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2569,35000-60000,buen clima,ciudad,Servicios Financieros,Cataluña,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
2570,60000 - 100000,buen clima,ciudad,Servicios Financieros,Andalucía,"Si, grande",diesel,viajes largos,Manual,No
2571,35000-60000,nieve,ciudad,Turismo y Ocio,Aragón,"Si, grande",electrico,uso particular ocasional,Manual,No
2572,12000 - 20000,buen clima,montaña,Industria Construccion y Manufactura,Canarias,"Si, grande",gasolina,uso particular habitual,Manual,No
2573,- 12000,buen clima,montaña,Energía,Andalucía,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2574,60000 - 100000,nieve,montaña,Energía,Asturias,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2575,20000 - 35000,nieve,montaña,Educación,Aragón,"Si, grande",hibrido,uso particular ocasional,Manual,No
2576,20000 - 35000,buen clima,montaña,Comercio,Canarias,"Si, grande",diesel,uso particular habitual,Manual,Si
2577,60000 - 100000,buen clima,montaña,Energía,Baleares,No,gasolina,uso particular ocasional,Manual,Si
2578,12000 - 20000,buen clima,montaña,Salud,Aragón,"Si, pequeña",electrico,uso particular ocasional,Automatico,No
2579,12000 - 20000,off-road,ciudad,Energía,Castilla y León,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
2580,20000 - 35000,buen clima,montaña,Comercio,Extremadura,"Si, grande",electrico,uso particular ocasional,Automatico,Si
2581,20000 - 35000,off-road,montaña,Otros,Aragón,"Si, pequeña",hibrido,uso particular ocasional,Automatico,No
2582,- 12000,buen clima,montaña,Entretenimiento y Medios,Castilla-La Mancha,"Si, pequeña",electrico,uso particular ocasional,Manual,No
2583,20000 - 35000,buen clima,ciudad,Otros,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,No
2584,60000 - 100000,buen clima,ciudad,Turismo y Ocio,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,No
2585,60000 - 100000,buen clima,montaña,Tecnología,Aragón,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
2586,20000 - 35000,buen clima,montaña,Energía,Aragón,"Si, pequeña",hibrido,uso particular ocasional,Manual,Si
2587,- 12000,buen clima,playa,Transporte y Logística,Aragón,"Si, pequeña",diesel,uso particular ocasional,Automatico,Si
2588,60000 - 100000,buen clima,montaña,Industria Construccion y Manufactura,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,No
2589,12000 - 20000,nieve,montaña,Tecnología,Extremadura,No,hibrido,uso particular habitual,Automatico,No
2590,35000-60000,buen clima,playa,Tecnología,Aragón,"Si, grande",diesel,uso particular ocasional,Manual,No
2591,20000 - 35000,buen clima,playa,Tecnología,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
2592,20000 - 35000,buen clima,montaña,Comercio,Castilla-La Mancha,"Si, grande",gasolina,uso particular ocasional,Manual,Si
2593,20000 - 35000,buen clima,ciudad,Tecnología,Aragón,No,gasolina,uso particular ocasional,Manual,Si
